Geracoes,Tamanho da Populacao,Numero de clones,d,Beta,Rho,Melhor Aptidao,Aptidao Media
100,200,100,2,1.00,0.50,150711.00,156375.60
100,200,100,2,1.00,1.00,142528.00,151966.56
100,200,100,2,1.00,2.50,147591.00,154527.11
100,200,100,2,1.00,5.00,146778.00,153758.02
100,200,100,2,2.00,0.50,150552.00,156202.08
100,200,100,2,2.00,1.00,147555.00,154605.23
100,200,100,2,2.00,2.50,142012.00,151793.66
100,200,100,2,2.00,5.00,149166.00,155237.71
100,200,100,2,5.00,0.50,113227.00,138273.39
100,200,100,2,5.00,1.00,146285.00,153774.72
100,200,100,2,5.00,2.50,151755.00,157125.61
100,200,100,2,5.00,5.00,141469.00,151444.08
100,200,100,2,10.00,0.50,60861.00,112561.20
100,200,100,2,10.00,1.00,55194.00,108033.22
100,200,100,2,10.00,2.50,149238.00,155710.21
100,200,100,2,10.00,5.00,146746.00,153775.17
100,200,100,5,1.00,0.50,147382.00,152732.84
100,200,100,5,1.00,1.00,147305.00,153373.90
100,200,100,5,1.00,2.50,143709.00,150941.39
100,200,100,5,1.00,5.00,145026.00,151685.46
100,200,100,5,2.00,0.50,142039.00,150748.15
100,200,100,5,2.00,1.00,148393.00,153891.04
100,200,100,5,2.00,2.50,146907.00,152660.90
100,200,100,5,2.00,5.00,146418.00,152121.48
100,200,100,5,5.00,0.50,113448.00,136746.04
100,200,100,5,5.00,1.00,137031.00,147468.55
100,200,100,5,5.00,2.50,147659.00,153368.73
100,200,100,5,5.00,5.00,143110.00,150502.54
100,200,100,5,10.00,0.50,59705.00,110970.73
100,200,100,5,10.00,1.00,48740.00,103628.65
100,200,100,5,10.00,2.50,144953.00,152088.61
100,200,100,5,10.00,5.00,142326.00,150915.87
100,200,100,10,1.00,0.50,140216.00,148473.26
100,200,100,10,1.00,1.00,144921.00,150857.73
100,200,100,10,1.00,2.50,140550.00,148617.78
100,200,100,10,1.00,5.00,142500.00,149854.61
100,200,100,10,2.00,0.50,144795.00,150862.04
100,200,100,10,2.00,1.00,142585.00,150009.32
100,200,100,10,2.00,2.50,141457.00,149279.14
100,200,100,10,2.00,5.00,146889.00,152064.61
100,200,100,10,5.00,0.50,112894.00,135039.07
100,200,100,10,5.00,1.00,143575.00,150469.74
100,200,100,10,5.00,2.50,148216.00,152615.54
100,200,100,10,5.00,5.00,146192.00,151963.77
100,200,100,10,10.00,0.50,59895.00,111008.32
100,200,100,10,10.00,1.00,66156.00,112199.76
100,200,100,10,10.00,2.50,141214.00,148859.64
100,200,100,10,10.00,5.00,148295.00,152925.45
100,200,150,2,1.00,0.50,150747.00,152838.85
100,200,150,2,1.00,1.00,147385.00,150127.32
100,200,150,2,1.00,2.50,146964.00,150019.57
100,200,150,2,1.00,5.00,151348.00,153415.44
100,200,150,2,2.00,0.50,140727.00,145675.60
100,200,150,2,2.00,1.00,144442.00,148465.86
100,200,150,2,2.00,2.50,150194.00,152691.48
100,200,150,2,2.00,5.00,149257.00,151991.20
100,200,150,2,5.00,0.50,67568.00,90814.20
100,200,150,2,5.00,1.00,148456.00,151520.00
100,200,150,2,5.00,2.50,143920.00,147655.02
100,200,150,2,5.00,5.00,146285.00,149708.64
100,200,150,2,10.00,0.50,63981.00,91262.78
100,200,150,2,10.00,1.00,48613.00,76456.88
100,200,150,2,10.00,2.50,135876.00,141699.73
100,200,150,2,10.00,5.00,147244.00,150397.67
100,200,150,5,1.00,0.50,146529.00,149287.83
100,200,150,5,1.00,1.00,147869.00,150221.96
100,200,150,5,1.00,2.50,148972.00,151315.32
100,200,150,5,1.00,5.00,148373.00,150475.15
100,200,150,5,2.00,0.50,146397.00,148973.03
100,200,150,5,2.00,1.00,145424.00,148683.06
100,200,150,5,2.00,2.50,147663.00,150202.68
100,200,150,5,2.00,5.00,142173.00,145817.38
100,200,150,5,5.00,0.50,71562.00,94121.10
100,200,150,5,5.00,1.00,145168.00,148330.64
100,200,150,5,5.00,2.50,146395.00,149393.82
100,200,150,5,5.00,5.00,143046.00,146570.76
100,200,150,5,10.00,0.50,64491.00,90415.34
100,200,150,5,10.00,1.00,44327.00,72848.16
100,200,150,5,10.00,2.50,145609.00,148388.80
100,200,150,5,10.00,5.00,147764.00,150218.19
100,200,150,10,1.00,0.50,146044.00,148566.52
100,200,150,10,1.00,1.00,145832.00,148405.05
100,200,150,10,1.00,2.50,146267.00,148791.10
100,200,150,10,1.00,5.00,145879.00,148838.84
100,200,150,10,2.00,0.50,147701.00,150032.51
100,200,150,10,2.00,1.00,145879.00,148566.93
100,200,150,10,2.00,2.50,144768.00,147744.12
100,200,150,10,2.00,5.00,146489.00,149100.50
100,200,150,10,5.00,0.50,58185.00,83286.51
100,200,150,10,5.00,1.00,146931.00,149439.65
100,200,150,10,5.00,2.50,148517.00,150376.28
100,200,150,10,5.00,5.00,143471.00,146593.92
100,200,150,10,10.00,0.50,62975.00,90231.31
100,200,150,10,10.00,1.00,47266.00,74390.76
100,200,150,10,10.00,2.50,146230.00,148880.32
100,200,150,10,10.00,5.00,143979.00,147285.22
100,200,200,2,1.00,0.50,151326.00,151326.00
100,200,200,2,1.00,1.00,148392.00,148392.00
100,200,200,2,1.00,2.50,150556.00,150556.00
100,200,200,2,1.00,5.00,150232.00,150232.00
100,200,200,2,2.00,0.50,148935.00,148935.00
100,200,200,2,2.00,1.00,143052.00,143052.00
100,200,200,2,2.00,2.50,147908.00,147908.00
100,200,200,2,2.00,5.00,152693.00,152693.00
100,200,200,2,5.00,0.50,56633.00,56949.06
100,200,200,2,5.00,1.00,146720.00,146720.00
100,200,200,2,5.00,2.50,150180.00,150180.00
100,200,200,2,5.00,5.00,149844.00,149844.00
100,200,200,2,10.00,0.50,65445.00,70740.49
100,200,200,2,10.00,1.00,44559.00,44685.96
100,200,200,2,10.00,2.50,146613.00,146613.00
100,200,200,2,10.00,5.00,147080.00,147080.00
100,200,200,5,1.00,0.50,149062.00,149062.00
100,200,200,5,1.00,1.00,148827.00,148827.00
100,200,200,5,1.00,2.50,143269.00,143269.00
100,200,200,5,1.00,5.00,147110.00,147110.00
100,200,200,5,2.00,0.50,152115.00,152115.00
100,200,200,5,2.00,1.00,143729.00,143729.00
100,200,200,5,2.00,2.50,151942.00,151942.00
100,200,200,5,2.00,5.00,147203.00,147203.00
100,200,200,5,5.00,0.50,50949.00,51687.90
100,200,200,5,5.00,1.00,147593.00,147593.00
100,200,200,5,5.00,2.50,147208.00,147208.00
100,200,200,5,5.00,5.00,148069.00,148069.00
100,200,200,5,10.00,0.50,66759.00,71795.20
100,200,200,5,10.00,1.00,45332.00,45495.57
100,200,200,5,10.00,2.50,149304.00,149304.00
100,200,200,5,10.00,5.00,147738.00,147738.00
100,200,200,10,1.00,0.50,150470.00,150470.00
100,200,200,10,1.00,1.00,154147.00,154147.00
100,200,200,10,1.00,2.50,149949.00,149949.00
100,200,200,10,1.00,5.00,148416.00,148416.00
100,200,200,10,2.00,0.50,147554.00,147554.00
100,200,200,10,2.00,1.00,147858.00,147858.00
100,200,200,10,2.00,2.50,143298.00,143298.00
100,200,200,10,2.00,5.00,150760.00,150760.00
100,200,200,10,5.00,0.50,57881.00,59172.69
100,200,200,10,5.00,1.00,150045.00,150045.00
100,200,200,10,5.00,2.50,149829.00,149829.00
100,200,200,10,5.00,5.00,148576.00,148576.00
100,200,200,10,10.00,0.50,65299.00,71366.46
100,200,200,10,10.00,1.00,47018.00,47018.00
100,200,200,10,10.00,2.50,149234.00,149234.00
100,200,200,10,10.00,5.00,149656.00,149656.00
